tbl,Year,quarter,citymarketid_1,citymarketid_2,city1,city2,cur_passengers,cur_fare,ly_fare,ly_passengers,amount_change,percent_change,amount_change_pax,percent_change_pax,Geocoded_City1,Geocoded_City2
Table 4,2017,1,30397,30529,"Atlanta, GA (Metropolitan Area)","Hartford, CT",51830,208.66,263.18,44160,-54.52,-20.7175,7670,17.3687,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Hartford, CT
(41.765775, -72.673356)"
Table 4,2017,1,30397,30693,"Atlanta, GA (Metropolitan Area)","Nashville, TN",22230,285.04,357.72,16300,-72.69,-20.3192,5930,36.3804,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Nashville, TN
(36.166687, -86.779932)"
Table 4,2017,1,30397,30721,"Atlanta, GA (Metropolitan Area)","Boston, MA (Metropolitan Area)",191870,182.31,236.91,176240,-54.6,-23.0483,15630,8.8686,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Boston, MA (Metropolitan Area)
(42.358894, -71.056742)"
Table 4,2017,1,30397,31650,"Atlanta, GA (Metropolitan Area)","Minneapolis/St. Paul, MN",103930,214.08,268.29,91170,-54.21,-20.2062,12760,13.9958,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Minneapolis/St. Paul, MN
(44.977479, -93.264346)"
Table 4,2017,1,30423,30198,"Austin, TX","Pittsburgh, PA",15980,201.68,270.81,12000,-69.13,-25.5276,3980,33.1667,"Austin, TX
(30.264979, -97.746598)","Pittsburgh, PA
(40.442169, -79.994945)"
Table 4,2017,1,30431,31703,"Asheville, NC","New York City, NY (Metropolitan Area)",15190,135.41,306.04,5040,-170.62,-55.753,10150,201.3889,"Asheville, NC
(35.595889, -82.550039)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)"
Table 4,2017,1,30466,31123,"Phoenix, AZ","St. Louis, MO",83630,177.48,238.7,66380,-61.22,-25.6457,17250,25.9867,"Phoenix, AZ
(30.406931, -87.217578)","St. Louis, MO
(38.630276, -90.200309)"
Table 4,2017,1,30466,34057,"Phoenix, AZ","Portland, OR",156840,151.16,196.8,124590,-45.64,-23.1921,32250,25.8849,"Phoenix, AZ
(30.406931, -87.217578)","Portland, OR
(45.516018, -122.681425)"
Table 4,2017,1,30615,32211,"El Paso, TX","Las Vegas, NV",29450,160.44,201.01,22590,-40.58,-20.1861,6860,30.3674,"El Paso, TX
(31.76006, -106.492257)","Las Vegas, NV
(36.169202, -115.140597)"
Table 4,2017,1,30693,30466,"Nashville, TN","Phoenix, AZ",52660,218.41,287.14,43280,-68.73,-23.9365,9380,21.6728,"Nashville, TN
(36.166687, -86.779932)","Phoenix, AZ
(30.406931, -87.217578)"
Table 4,2017,1,30721,30693,"Boston, MA (Metropolitan Area)","Nashville, TN",84340,146.33,193.05,59810,-46.72,-24.2009,24530,41.0132,"Boston, MA (Metropolitan Area)
(42.358894, -71.056742)","Nashville, TN
(36.166687, -86.779932)"
Table 4,2017,1,30721,31703,"Boston, MA (Metropolitan Area)","New York City, NY (Metropolitan Area)",346030,148.52,222.68,294250,-74.16,-33.304,51780,17.5973,"Boston, MA (Metropolitan Area)
(42.358894, -71.056742)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)"
Table 4,2017,1,30721,34614,"Boston, MA (Metropolitan Area)","Salt Lake City, UT",69220,270.94,348.37,51970,-77.43,-22.2261,17250,33.1922,"Boston, MA (Metropolitan Area)
(42.358894, -71.056742)","Salt Lake City, UT
(40.758478, -111.888142)"
Table 4,2017,1,30792,32575,"Buffalo, NY","Los Angeles, CA (Metropolitan Area)",35550,202.11,287.1,21730,-84.99,-29.6027,13820,63.5987,"Buffalo, NY
(39.945422, -78.64671)","Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)"
Table 4,2017,1,30977,31267,"Chicago, IL","Dayton, OH",22590,136.18,255.17,10610,-118.98,-46.6301,11980,112.9123,"Chicago, IL
(41.775002, -87.696388)","Dayton, OH
(39.760982, -84.192203)"
Table 4,2017,1,30977,33105,"Chicago, IL","Cincinnati, OH",42350,222.91,302.72,31840,-79.81,-26.3655,10510,33.0088,"Chicago, IL
(41.775002, -87.696388)","Cincinnati, OH
(39.104427, -84.513808)"
Table 4,2017,1,30977,33192,"Chicago, IL","Sacramento, CA",38150,229.95,295.96,29030,-66.01,-22.3045,9120,31.4158,"Chicago, IL
(41.775002, -87.696388)","Sacramento, CA
(38.582087, -121.50012)"
Table 4,2017,1,30977,33851,"Chicago, IL","Oklahoma City, OK",24750,187.2,235.9,20310,-48.7,-20.6447,4440,21.8612,"Chicago, IL
(41.775002, -87.696388)","Oklahoma City, OK
(35.468494, -97.521264)"
Table 4,2017,1,31057,30693,"Charlotte, NC","Nashville, TN",48260,152.29,286.6,26340,-134.31,-46.8634,21920,83.2194,"Charlotte, NC
(35.222936, -80.840161)","Nashville, TN
(36.166687, -86.779932)"
Table 4,2017,1,31066,30325,"Columbus, OH","Denver, CO",38570,197.56,259.08,27470,-61.52,-23.746,11100,40.4077,"Columbus, OH
(39.962649, -82.996216)","Denver, CO
(39.738453, -104.984853)"
Table 4,2017,1,31066,32211,"Columbus, OH","Las Vegas, NV",56810,198.77,269.05,37860,-70.28,-26.1231,18950,50.0528,"Columbus, OH
(39.962649, -82.996216)","Las Vegas, NV
(36.169202, -115.140597)"
Table 4,2017,1,31295,30466,"Detroit, MI","Phoenix, AZ",134000,196.31,258.69,100920,-62.38,-24.1143,33080,32.7784,"Detroit, MI
(42.332916, -83.047853)","Phoenix, AZ
(30.406931, -87.217578)"
Table 4,2017,1,31295,34100,"Detroit, MI","Philadelphia, PA",59540,156.17,353.85,37790,-197.69,-55.8668,21750,57.5549,"Detroit, MI
(42.332916, -83.047853)","Philadelphia, PA
(39.951061, -75.16562)"
Table 4,2017,1,31453,33316,"Houston, TX","Omaha, NE",20270,231.4,296.77,16310,-65.37,-22.0287,3960,24.2796,"Houston, TX
(29.760803, -95.369506)","Omaha, NE
(46.07035, -93.666319)"
Table 4,2017,1,31454,35356,"Orlando, FL","Trenton, NJ",18490,93.11,121.34,33330,-28.23,-23.2671,-14840,-44.5245,"Orlando, FL
(28.538331, -81.378879)","Trenton, NJ
(40.220572, -74.759709)"
Table 4,2017,1,31650,34027,"Minneapolis/St. Paul, MN","West Palm Beach/Palm Beach, FL",26810,197.67,247.91,11080,-50.24,-20.2659,15730,141.9675,"Minneapolis/St. Paul, MN
(44.977479, -93.264346)","West Palm Beach/Palm Beach, FL
(33.90976, -98.500854)"
Table 4,2017,1,31986,31703,"Grand Rapids, MI","New York City, NY (Metropolitan Area)",24210,216.88,306.49,18450,-89.61,-29.2363,5760,31.2195,"Grand Rapids, MI
(47.925705, -97.036068)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)"
Table 4,2017,1,32467,30693,"Miami, FL (Metropolitan Area)","Nashville, TN",97500,159.21,203.07,74610,-43.86,-21.5978,22890,30.6795,"Miami, FL (Metropolitan Area)
(44.977479, -93.264346)","Nashville, TN
(36.166687, -86.779932)"
Table 4,2017,1,32575,33495,"Los Angeles, CA (Metropolitan Area)","New Orleans, LA",138790,205.39,263.47,101570,-58.08,-22.0439,37220,36.6447,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)","New Orleans, LA
(29.950621, -90.074948)"
Table 4,2017,1,33105,30325,"Cincinnati, OH","Denver, CO",35560,174.86,230.25,25610,-55.39,-24.0561,9950,38.852,"Cincinnati, OH
(39.104427, -84.513808)","Denver, CO
(39.738453, -104.984853)"
Table 4,2017,1,33105,30466,"Cincinnati, OH","Phoenix, AZ",35840,176.45,264.3,23310,-87.86,-33.2401,12530,53.7538,"Cincinnati, OH
(39.104427, -84.513808)","Phoenix, AZ
(30.406931, -87.217578)"
Table 4,2017,1,33105,31453,"Cincinnati, OH","Houston, TX",23330,268.32,367.07,16470,-98.75,-26.9015,6860,41.6515,"Cincinnati, OH
(39.104427, -84.513808)","Houston, TX
(29.760803, -95.369506)"
Table 4,2017,1,33105,32457,"Cincinnati, OH","San Francisco, CA (Metropolitan Area)",29630,269.24,360.27,21630,-91.03,-25.2671,8000,36.9857,"Cincinnati, OH
(39.104427, -84.513808)","San Francisco, CA (Metropolitan Area)
(37.78008, -122.420168)"
Table 4,2017,1,33105,32575,"Cincinnati, OH","Los Angeles, CA (Metropolitan Area)",57820,234.21,359.69,39230,-125.47,-34.8834,18590,47.3872,"Cincinnati, OH
(39.104427, -84.513808)","Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)"
Table 4,2017,1,33192,34614,"Sacramento, CA","Salt Lake City, UT",35240,160.57,210.42,26330,-49.85,-23.6924,8910,33.8397,"Sacramento, CA
(38.582087, -121.50012)","Salt Lake City, UT
(40.758478, -111.888142)"
Table 4,2017,1,33198,33214,"Kansas City, MO","San Antonio, TX",24440,185.12,247.38,16340,-62.26,-25.1666,8100,49.5716,"Kansas City, MO
(39.099792, -94.578559)","San Antonio, TX
(29.425173, -98.494599)"
Table 4,2017,1,33485,31454,"Madison, WI","Orlando, FL",17230,175.51,225.12,11420,-49.6,-22.0351,5810,50.8757,"Madison, WI
(43.073926, -89.385244)","Orlando, FL
(28.538331, -81.378879)"
Table 4,2017,1,35412,31703,"Knoxville, TN","New York City, NY (Metropolitan Area)",22680,181.28,290.66,13870,-109.38,-37.6305,8810,63.5184,"Knoxville, TN
(35.962631, -83.916677)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)"
Table 4,2017,2,30189,31454,"Colorado Springs, CO","Orlando, FL",19350,132.23,263.89,5080,-131.66,-0.4989,14270,2.8091,"Colorado Springs, CO
(38.835224, -104.819798)","Orlando, FL
(28.538331, -81.378879)"
Table 4,2017,2,30194,31834,"Dallas/Fort Worth, TX","Fayetteville, AR",17790,261.38,338.32,12130,-76.94,-0.2274,5660,0.4666,"Dallas/Fort Worth, TX
(40.11086, -77.035636)","Fayetteville, AR
(36.061928, -94.160583)"
Table 4,2017,2,30397,30721,"Atlanta, GA (Metropolitan Area)","Boston, MA (Metropolitan Area)",307710,160.92,212.39,258790,-51.47,-0.2424,48920,0.189,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Boston, MA (Metropolitan Area)
(42.358894, -71.056742)"
Table 4,2017,2,30423,30198,"Austin, TX","Pittsburgh, PA",21100,212.54,273.14,14940,-60.6,-0.2219,6160,0.4123,"Austin, TX
(30.264979, -97.746598)","Pittsburgh, PA
(40.442169, -79.994945)"
Table 4,2017,2,30423,30647,"Austin, TX","Cleveland, OH (Metropolitan Area)",22040,200.97,268.56,15740,-67.58,-0.2516,6300,0.4002,"Austin, TX
(30.264979, -97.746598)","Cleveland, OH (Metropolitan Area)
(41.505546, -81.6915)"
Table 4,2017,2,30431,31703,"Asheville, NC","New York City, NY (Metropolitan Area)",30170,145.89,295.15,9420,-149.27,-0.5057,20750,2.2028,"Asheville, NC
(35.595889, -82.550039)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)"
Table 4,2017,2,30466,33192,"Phoenix, AZ","Sacramento, CA",92790,177.38,221.8,71010,-44.42,-0.2003,21780,0.3067,"Phoenix, AZ
(30.406931, -87.217578)","Sacramento, CA
(38.582087, -121.50012)"
Table 4,2017,2,30647,31453,"Cleveland, OH (Metropolitan Area)","Houston, TX",40370,242.45,324.78,37610,-82.33,-0.2535,2760,0.0734,"Cleveland, OH (Metropolitan Area)
(41.505546, -81.6915)","Houston, TX
(29.760803, -95.369506)"
Table 4,2017,2,30977,33105,"Chicago, IL","Cincinnati, OH",59980,178.25,267.21,39310,-88.96,-0.3329,20670,0.5258,"Chicago, IL
(41.775002, -87.696388)","Cincinnati, OH
(39.104427, -84.513808)"
Table 4,2017,2,31057,30693,"Charlotte, NC","Nashville, TN",49160,182.79,283.12,28940,-100.33,-0.3544,20220,0.6987,"Charlotte, NC
(35.222936, -80.840161)","Nashville, TN
(36.166687, -86.779932)"
Table 4,2017,2,31295,34100,"Detroit, MI","Philadelphia, PA",78150,166.83,254.55,55490,-87.72,-0.3446,22660,0.4084,"Detroit, MI
(42.332916, -83.047853)","Philadelphia, PA
(39.951061, -75.16562)"
Table 4,2017,2,31453,33316,"Houston, TX","Omaha, NE",24740,206.25,314.77,18790,-108.52,-0.3448,5950,0.3167,"Houston, TX
(29.760803, -95.369506)","Omaha, NE
(46.07035, -93.666319)"
Table 4,2017,2,31453,33495,"Houston, TX","New Orleans, LA",141140,145.01,185.41,137050,-40.4,-0.2179,4090,0.0298,"Houston, TX
(29.760803, -95.369506)","New Orleans, LA
(29.950621, -90.074948)"
Table 4,2017,2,31453,34100,"Houston, TX","Philadelphia, PA",95220,245.92,340.2,76360,-94.27,-0.2771,18860,0.247,"Houston, TX
(29.760803, -95.369506)","Philadelphia, PA
(39.951061, -75.16562)"
Table 4,2017,2,31454,33570,"Orlando, FL","San Diego, CA",73730,192.02,256.79,52070,-64.77,-0.2522,21660,0.416,"Orlando, FL
(28.538331, -81.378879)","San Diego, CA
(32.71576, -117.163817)"
Table 4,2017,2,32211,33195,"Las Vegas, NV","Tampa, FL (Metropolitan Area)",77560,201.63,267.76,52930,-66.13,-0.247,24630,0.4653,"Las Vegas, NV
(36.169202, -115.140597)","Tampa, FL (Metropolitan Area)
(37.8606, -78.804199)"
Table 4,2017,2,32575,34570,"Los Angeles, CA (Metropolitan Area)","Reno, NV",106140,132.64,169.13,79150,-36.49,-0.2157,26990,0.341,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)","Reno, NV
(30.177159, -95.162771)"
Table 4,2017,2,33105,31650,"Cincinnati, OH","Minneapolis/St. Paul, MN",27740,279.15,360.79,23600,-81.64,-0.2263,4140,0.1754,"Cincinnati, OH
(39.104427, -84.513808)","Minneapolis/St. Paul, MN
(44.977479, -93.264346)"
Table 4,2017,2,33105,32457,"Cincinnati, OH","San Francisco, CA (Metropolitan Area)",54530,233.45,301.11,36490,-67.66,-0.2247,18040,0.4944,"Cincinnati, OH
(39.104427, -84.513808)","San Francisco, CA (Metropolitan Area)
(37.78008, -122.420168)"
Table 4,2017,2,33105,32575,"Cincinnati, OH","Los Angeles, CA (Metropolitan Area)",77550,236.75,296.24,56750,-59.48,-0.2008,20800,0.3665,"Cincinnati, OH
(39.104427, -84.513808)","Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)"
Table 4,2017,2,33105,33570,"Cincinnati, OH","San Diego, CA",17850,254.49,321.27,11300,-66.78,-0.2079,6550,0.5796,"Cincinnati, OH
(39.104427, -84.513808)","San Diego, CA
(32.71576, -117.163817)"
Table 4,2017,2,33192,34614,"Sacramento, CA","Salt Lake City, UT",40680,159.08,222.25,29830,-63.17,-0.2842,10850,0.3637,"Sacramento, CA
(38.582087, -121.50012)","Salt Lake City, UT
(40.758478, -111.888142)"
Table 4,2017,2,33198,33214,"Kansas City, MO","San Antonio, TX",26140,184.43,252.65,18240,-68.22,-0.27,7900,0.4331,"Kansas City, MO
(39.099792, -94.578559)","San Antonio, TX
(29.425173, -98.494599)"
Table 4,2017,2,33495,34492,"New Orleans, LA","Raleigh/Durham, NC",25290,193.27,250.43,19380,-57.17,-0.2283,5910,0.305,"New Orleans, LA
(29.950621, -90.074948)","Raleigh/Durham, NC
(42.673348, -72.179683)"
Table 4,2017,2,35412,31703,"Knoxville, TN","New York City, NY (Metropolitan Area)",35760,170.45,309.94,19550,-139.49,-0.4501,16210,0.8292,"Knoxville, TN
(35.962631, -83.916677)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)"
Table 4,2017,3,30158,32467,"Atlantic City, NJ","Miami, FL (Metropolitan Area)",36360,76.19,97.28,36550,-21.09,-0.2168,-190,-0.0052,"Atlantic City, NJ
(33.748547, -84.391502)","Miami, FL (Metropolitan Area)
(44.977479, -93.264346)"
Table 4,2017,3,30189,30852,"Colorado Springs, CO","Washington, DC (Metropolitan Area)",28500,202.84,311.64,17380,-108.8,-0.3491,11120,0.6398,"Colorado Springs, CO
(38.835224, -104.819798)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)"
Table 4,2017,3,30189,31454,"Colorado Springs, CO","Orlando, FL",17860,117.81,251.28,4430,-133.47,-0.5312,13430,3.0316,"Colorado Springs, CO
(38.835224, -104.819798)","Orlando, FL
(28.538331, -81.378879)"
Table 4,2017,3,30189,32575,"Colorado Springs, CO","Los Angeles, CA (Metropolitan Area)",19710,182.94,269.44,13450,-86.49,-0.321,6260,0.4654,"Colorado Springs, CO
(38.835224, -104.819798)","Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)"
Table 4,2017,3,30194,30198,"Dallas/Fort Worth, TX","Pittsburgh, PA",68740,173.43,234.78,56320,-61.35,-0.2613,12420,0.2205,"Dallas/Fort Worth, TX
(40.11086, -77.035636)","Pittsburgh, PA
(40.442169, -79.994945)"
Table 4,2017,3,30194,33851,"Dallas/Fort Worth, TX","Oklahoma City, OK",23210,155.89,197.46,18360,-41.57,-0.2105,4850,0.2642,"Dallas/Fort Worth, TX
(40.11086, -77.035636)","Oklahoma City, OK
(35.468494, -97.521264)"
Table 4,2017,3,30194,34653,"Dallas/Fort Worth, TX","Tulsa, OK",38730,140.1,180.18,34760,-40.08,-0.2224,3970,0.1142,"Dallas/Fort Worth, TX
(40.11086, -77.035636)","Tulsa, OK
(61.096484, -160.967455)"
Table 4,2017,3,30325,33485,"Denver, CO","Madison, WI",31130,161,217.97,22300,-56.97,-0.2614,8830,0.396,"Denver, CO
(39.738453, -104.984853)","Madison, WI
(43.073926, -89.385244)"
Table 4,2017,3,30325,33495,"Denver, CO","New Orleans, LA",69710,155.24,194.4,58020,-39.16,-0.2014,11690,0.2015,"Denver, CO
(39.738453, -104.984853)","New Orleans, LA
(29.950621, -90.074948)"
Table 4,2017,3,30325,34614,"Denver, CO","Salt Lake City, UT",142520,126.01,160.7,120450,-34.69,-0.2159,22070,0.1832,"Denver, CO
(39.738453, -104.984853)","Salt Lake City, UT
(40.758478, -111.888142)"
Table 4,2017,3,30397,30423,"Atlanta, GA (Metropolitan Area)","Austin, TX",83590,161.98,207.04,71270,-45.06,-0.2176,12320,0.1729,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Austin, TX
(30.264979, -97.746598)"
Table 4,2017,3,30397,30721,"Atlanta, GA (Metropolitan Area)","Boston, MA (Metropolitan Area)",315990,150.88,222.48,250310,-71.6,-0.3218,65680,0.2624,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Boston, MA (Metropolitan Area)
(42.358894, -71.056742)"
Table 4,2017,3,30397,33105,"Atlanta, GA (Metropolitan Area)","Cincinnati, OH",39680,235.63,294.76,30810,-59.13,-0.2006,8870,0.2879,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Cincinnati, OH
(39.104427, -84.513808)"
Table 4,2017,3,30423,30198,"Austin, TX","Pittsburgh, PA",19100,197.27,249.63,14310,-52.36,-0.2098,4790,0.3347,"Austin, TX
(30.264979, -97.746598)","Pittsburgh, PA
(40.442169, -79.994945)"
Table 4,2017,3,30423,30647,"Austin, TX","Cleveland, OH (Metropolitan Area)",18760,198.56,257.87,15390,-59.31,-0.23,3370,0.219,"Austin, TX
(30.264979, -97.746598)","Cleveland, OH (Metropolitan Area)
(41.505546, -81.6915)"
Table 4,2017,3,30423,32337,"Austin, TX","Indianapolis, IN",19420,205.38,265.67,13520,-60.3,-0.227,5900,0.4364,"Austin, TX
(30.264979, -97.746598)","Indianapolis, IN
(39.76845, -86.156212)"
Table 4,2017,3,30423,33198,"Austin, TX","Kansas City, MO",25240,181.41,237.88,16600,-56.47,-0.2374,8640,0.5205,"Austin, TX
(30.264979, -97.746598)","Kansas City, MO
(39.099792, -94.578559)"
Table 4,2017,3,30423,33570,"Austin, TX","San Diego, CA",58690,185.77,258.31,39890,-72.54,-0.2808,18800,0.4713,"Austin, TX
(30.264979, -97.746598)","San Diego, CA
(32.71576, -117.163817)"
Table 4,2017,3,30431,31703,"Asheville, NC","New York City, NY (Metropolitan Area)",32170,146.3,272.12,12790,-125.83,-0.4624,19380,1.5152,"Asheville, NC
(35.595889, -82.550039)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)"
Table 4,2017,3,30466,33192,"Phoenix, AZ","Sacramento, CA",80170,171.01,214.24,61700,-43.23,-0.2018,18470,0.2994,"Phoenix, AZ
(30.406931, -87.217578)","Sacramento, CA
(38.582087, -121.50012)"
Table 4,2017,3,30529,31135,"Hartford, CT","Myrtle Beach, SC",21150,98.29,243.81,4100,-145.51,-0.5968,17050,4.1585,"Hartford, CT
(41.765775, -72.673356)","Myrtle Beach, SC
(33.68785, -78.883852)"
Table 4,2017,3,30581,31703,"Bangor, ME","New York City, NY (Metropolitan Area)",21830,205.07,259.84,14950,-54.77,-0.2108,6880,0.4602,"Bangor, ME
(44.801602, -68.771334)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)"
Table 4,2017,3,30647,30852,"Cleveland, OH (Metropolitan Area)","Washington, DC (Metropolitan Area)",53720,193.25,241.72,62910,-48.47,-0.2005,-9190,-0.1461,"Cleveland, OH (Metropolitan Area)
(41.505546, -81.6915)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)"
Table 4,2017,3,30647,31453,"Cleveland, OH (Metropolitan Area)","Houston, TX",41370,216.72,321.95,34470,-105.23,-0.3269,6900,0.2002,"Cleveland, OH (Metropolitan Area)
(41.505546, -81.6915)","Houston, TX
(29.760803, -95.369506)"
Table 4,2017,3,30647,33195,"Cleveland, OH (Metropolitan Area)","Tampa, FL (Metropolitan Area)",50990,118.25,150.22,50460,-31.97,-0.2128,530,0.0105,"Cleveland, OH (Metropolitan Area)
(41.505546, -81.6915)","Tampa, FL (Metropolitan Area)
(37.8606, -78.804199)"
Table 4,2017,3,30647,33570,"Cleveland, OH (Metropolitan Area)","San Diego, CA",30210,197.47,283.18,21010,-85.71,-0.3027,9200,0.4379,"Cleveland, OH (Metropolitan Area)
(41.505546, -81.6915)","San Diego, CA
(32.71576, -117.163817)"
Table 4,2017,3,30977,30189,"Chicago, IL","Colorado Springs, CO",20160,157.57,345.89,6150,-188.32,-0.5444,14010,2.278,"Chicago, IL
(41.775002, -87.696388)","Colorado Springs, CO
(38.835224, -104.819798)"
Table 4,2017,3,30977,31295,"Chicago, IL","Detroit, MI",147080,141.81,177.88,127120,-36.07,-0.2028,19960,0.157,"Chicago, IL
(41.775002, -87.696388)","Detroit, MI
(42.332916, -83.047853)"
