tbl,Year,quarter,mkt_fare,citymarketid_1,citymarketid_2,city1,city2,carairlineid,car,carpax,carpaxshare,caravgfare,fareinc_min,fareinc_minpaxsh,fareinc_max,fare_inc_maxpaxsh,fare_inc_x3paxsh,Geocoded_City1,Geocoded_City2,tbl5pk
Table 5,2018,1,271.49,30977,31423,"Chicago, IL","Des Moines, IA",19977,UA,4140,0.2286,259.6,150,0.0531,350,0.1691,0.0411,"Chicago, IL
(41.775002, -87.696388)","Des Moines, IA
(41.588822, -93.620309)",20181309773142319977UA
Table 5,2018,1,297.75,30977,32070,"Chicago, IL","Harrisburg, PA",19805,AA,3860,0.2252,311.1,175,0.0881,425,0.0907,0.044,"Chicago, IL
(41.775002, -87.696388)","Harrisburg, PA
(40.259572, -76.881821)",20181309773207019805AA
Table 5,2018,1,297.75,30977,32070,"Chicago, IL","Harrisburg, PA",19977,UA,4670,0.2725,290.67,175,0.1499,425,0.0792,0.0321,"Chicago, IL
(41.775002, -87.696388)","Harrisburg, PA
(40.259572, -76.881821)",20181309773207019977UA
Table 5,2018,1,133.35,30977,33105,"Chicago, IL","Cincinnati, OH",19393,WN,8710,0.1269,107.25,75,0.3731,200,0.0941,0.0011,"Chicago, IL
(41.775002, -87.696388)","Cincinnati, OH
(39.104427, -84.513808)",20181309773310519393WN
Table 5,2018,1,133.35,30977,33105,"Chicago, IL","Cincinnati, OH",19805,AA,7440,0.1084,168.97,100,0.0699,200,0.0833,0.0457,"Chicago, IL
(41.775002, -87.696388)","Cincinnati, OH
(39.104427, -84.513808)",20181309773310519805AA
Table 5,2018,1,133.35,30977,33105,"Chicago, IL","Cincinnati, OH",19977,UA,11700,0.1705,127.69,75,0.212,175,0.1282,0.0547,"Chicago, IL
(41.775002, -87.696388)","Cincinnati, OH
(39.104427, -84.513808)",20181309773310519977UA
Table 5,2018,1,281.02,30977,34653,"Chicago, IL","Tulsa, OK",19805,AA,3220,0.2079,291.95,175,0.0528,400,0.1087,0.0404,"Chicago, IL
(41.775002, -87.696388)","Tulsa, OK
(61.096484, -160.967455)",20181309773465319805AA
Table 5,2018,1,281.02,30977,34653,"Chicago, IL","Tulsa, OK",19977,UA,3680,0.2376,281.27,175,0.0761,400,0.1005,0.019,"Chicago, IL
(41.775002, -87.696388)","Tulsa, OK
(61.096484, -160.967455)",20181309773465319977UA
Table 5,2018,1,262.56,31057,30198,"Charlotte, NC","Pittsburgh, PA",19805,AA,12590,0.4592,268.96,175,0.0842,375,0.1168,0.023,"Charlotte, NC
(35.222936, -80.840161)","Pittsburgh, PA
(40.442169, -79.994945)",20181310573019819805AA
Table 5,2018,3,327.08,30255,30852,"Huntsville, AL","Washington, DC (Metropolitan Area)",19805,AA,9640,0.3553,321.88,150,0.1317,450,0.0664,0.1649,,,20183302553085219805AA
Table 5,2018,1,274.14,31057,30529,"Charlotte, NC","Hartford, CT",19805,AA,13330,0.4641,281.55,175,0.0735,325,0.0668,0.0608,"Charlotte, NC
(35.222936, -80.840161)","Hartford, CT
(41.765775, -72.673356)",20181310573052919805AA
Table 5,2018,1,283.04,31057,31066,"Charlotte, NC","Columbus, OH",19805,AA,7370,0.4527,295.51,200,0.0787,425,0.0651,0.0244,"Charlotte, NC
(35.222936, -80.840161)","Columbus, OH
(39.962649, -82.996216)",20181310573106619805AA
Table 5,2018,1,286.19,31057,31123,"Charlotte, NC","St. Louis, MO",19805,AA,9880,0.4294,294.33,175,0.0698,400,0.0607,0.0587,"Charlotte, NC
(35.222936, -80.840161)","St. Louis, MO
(38.630276, -90.200309)",20181310573112319805AA
Table 5,2018,1,285.91,31057,31295,"Charlotte, NC","Detroit, MI",19790,DL,9020,0.2573,286.63,175,0.0676,450,0.0599,0.0078,"Charlotte, NC
(35.222936, -80.840161)","Detroit, MI
(42.332916, -83.047853)",20181310573129519790DL
Table 5,2018,1,285.91,31057,31295,"Charlotte, NC","Detroit, MI",19805,AA,8240,0.235,285.38,175,0.1129,450,0.068,0.034,"Charlotte, NC
(35.222936, -80.840161)","Detroit, MI
(42.332916, -83.047853)",20181310573129519805AA
Table 5,2018,1,267.44,31057,32337,"Charlotte, NC","Indianapolis, IN",19805,AA,9670,0.419,283.39,175,0.0714,425,0.0538,0.0269,"Charlotte, NC
(35.222936, -80.840161)","Indianapolis, IN
(39.76845, -86.156212)",20181310573233719805AA
Table 5,2018,1,271.36,31057,32467,"Charlotte, NC","Miami, FL (Metropolitan Area)",19805,AA,32880,0.4716,276.14,175,0.0833,450,0.0547,0.0414,"Charlotte, NC
(35.222936, -80.840161)","Miami, FL (Metropolitan Area)
(44.977479, -93.264346)",20181310573246719805AA
Table 5,2018,1,263.47,31057,33195,"Charlotte, NC","Tampa, FL (Metropolitan Area)",19805,AA,19990,0.4711,268.94,175,0.08,325,0.061,0.0555,"Charlotte, NC
(35.222936, -80.840161)","Tampa, FL (Metropolitan Area)
(37.8606, -78.804199)",20181310573319519805AA
Table 5,2018,1,289.74,31057,33244,"Charlotte, NC","Memphis, TN",19805,AA,8080,0.4568,289.46,175,0.0693,475,0.0582,0.0198,"Charlotte, NC
(35.222936, -80.840161)","Memphis, TN
(35.143378, -90.052136)",20181310573324419805AA
Table 5,2018,1,276.43,31057,33342,"Charlotte, NC","Milwaukee, WI",19805,AA,5810,0.3891,299.09,175,0.0843,400,0.074,0.0413,"Charlotte, NC
(35.222936, -80.840161)","Milwaukee, WI
(43.041072, -87.909421)",20181310573334219805AA
Table 5,2018,1,268.29,31057,33495,"Charlotte, NC","New Orleans, LA",19805,AA,10200,0.4168,274.81,175,0.0902,325,0.0706,0.0363,"Charlotte, NC
(35.222936, -80.840161)","New Orleans, LA
(29.950621, -90.074948)",20181310573349519805AA
Table 5,2018,1,306.38,31057,34027,"Charlotte, NC","West Palm Beach/Palm Beach, FL",19805,AA,8800,0.4513,315.71,175,0.0705,475,0.0568,0.0534,"Charlotte, NC
(35.222936, -80.840161)","West Palm Beach/Palm Beach, FL
(33.90976, -98.500854)",20181310573402719805AA
Table 5,2018,1,278.94,31057,34100,"Charlotte, NC","Philadelphia, PA",19805,AA,25430,0.4239,315.98,150,0.103,475,0.0645,0.2371,"Charlotte, NC
(35.222936, -80.840161)","Philadelphia, PA
(39.951061, -75.16562)",20181310573410019805AA
Table 5,2018,1,269.24,31066,31650,"Columbus, OH","Minneapolis/St. Paul, MN",19790,DL,8820,0.3707,283.98,150,0.0578,400,0.0669,0.059,"Columbus, OH
(39.962649, -82.996216)","Minneapolis/St. Paul, MN
(44.977479, -93.264346)",20181310663165019790DL
Table 5,2018,1,317.71,31066,34100,"Columbus, OH","Philadelphia, PA",19805,AA,9780,0.4382,328.1,200,0.1053,425,0.1708,0.0276,"Columbus, OH
(39.962649, -82.996216)","Philadelphia, PA
(39.951061, -75.16562)",20181310663410019805AA
Table 5,2018,1,119.36,31135,31703,"Myrtle Beach, SC","New York City, NY (Metropolitan Area)",19977,UA,4670,0.1544,139.56,75,0.1649,200,0.0985,0.1049,"Myrtle Beach, SC
(33.68785, -78.883852)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)",20181311353170319977UA
Table 5,2018,1,119.36,31135,31703,"Myrtle Beach, SC","New York City, NY (Metropolitan Area)",20416,NK,8160,0.2698,80.7,75,0.5723,125,0.1078,0,"Myrtle Beach, SC
(33.68785, -78.883852)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)",20181311353170320416NK
Table 5,2018,1,270.21,31295,30529,"Detroit, MI","Hartford, CT",19790,DL,7330,0.4389,268.39,150,0.0587,325,0.1119,0.0928,"Detroit, MI
(42.332916, -83.047853)","Hartford, CT
(41.765775, -72.673356)",20181312953052919790DL
Table 5,2018,1,327.14,31295,31871,"Detroit, MI","Greenville/Spartanburg, SC",19790,DL,6010,0.4028,347.68,175,0.0965,575,0.0882,0.1864,"Detroit, MI
(42.332916, -83.047853)","Greenville/Spartanburg, SC
(44.513288, -88.013256)",20181312953187119790DL
Table 5,2018,1,271.99,31295,33342,"Detroit, MI","Milwaukee, WI",19790,DL,7840,0.4813,275.31,125,0.0727,400,0.0893,0.2066,"Detroit, MI
(42.332916, -83.047853)","Milwaukee, WI
(43.041072, -87.909421)",20181312953334219790DL
Table 5,2018,1,274.51,31295,34100,"Detroit, MI","Philadelphia, PA",19790,DL,11560,0.2541,280.02,175,0.1324,425,0.0606,0.0268,"Detroit, MI
(42.332916, -83.047853)","Philadelphia, PA
(39.951061, -75.16562)",20181312953410019790DL
Table 5,2018,1,274.51,31295,34100,"Detroit, MI","Philadelphia, PA",19805,AA,9240,0.2031,292.34,175,0.1959,500,0.0541,0.0498,"Detroit, MI
(42.332916, -83.047853)","Philadelphia, PA
(39.951061, -75.16562)",20181312953410019805AA
Table 5,2018,1,270.92,31295,34492,"Detroit, MI","Raleigh/Durham, NC",19790,DL,9920,0.3857,283.63,175,0.1149,350,0.0736,0.0323,"Detroit, MI
(42.332916, -83.047853)","Raleigh/Durham, NC
(42.673348, -72.179683)",20181312953449219790DL
Table 5,2018,1,303.24,31453,33158,"Houston, TX","Midland/Odessa, TX",19393,WN,16040,0.2609,268.58,150,0.1546,375,0.1403,0.0006,"Houston, TX
(29.760803, -95.369506)","Midland/Odessa, TX
(31.997433, -102.078043)",20181314533315819393WN
Table 5,2018,1,303.24,31453,33158,"Houston, TX","Midland/Odessa, TX",19977,UA,13470,0.2191,339.71,150,0.0609,400,0.0683,0.1678,"Houston, TX
(29.760803, -95.369506)","Midland/Odessa, TX
(31.997433, -102.078043)",20181314533315819977UA
Table 5,2018,1,106.67,31638,32211,"Fresno, CA","Las Vegas, NV",20368,G4,6910,0.4513,87.77,75,0.4616,150,0.0781,0,"Fresno, CA
(36.731654, -119.785856)","Las Vegas, NV
(36.169202, -115.140597)",20181316383221120368G4
Table 5,2018,1,290.69,31650,30198,"Minneapolis/St. Paul, MN","Pittsburgh, PA",19790,DL,7040,0.3757,307.25,150,0.0795,350,0.0625,0.1832,"Minneapolis/St. Paul, MN
(44.977479, -93.264346)","Pittsburgh, PA
(40.442169, -79.994945)",20181316503019819790DL
Table 5,2018,1,278.92,31703,30198,"New York City, NY (Metropolitan Area)","Pittsburgh, PA",19790,DL,18720,0.2036,282.81,125,0.0871,400,0.0844,0.1731,"New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","Pittsburgh, PA
(40.442169, -79.994945)",20181317033019819790DL
Table 5,2018,1,278.92,31703,30198,"New York City, NY (Metropolitan Area)","Pittsburgh, PA",19805,AA,10340,0.1124,264.85,125,0.0783,375,0.0677,0.1992,"New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","Pittsburgh, PA
(40.442169, -79.994945)",20181317033019819805AA
Table 5,2018,1,278.92,31703,30198,"New York City, NY (Metropolitan Area)","Pittsburgh, PA",19977,UA,14130,0.1537,306.48,150,0.0778,425,0.0538,0.1097,"New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","Pittsburgh, PA
(40.442169, -79.994945)",20181317033019819977UA
Table 5,2018,1,137.75,31703,34321,"New York City, NY (Metropolitan Area)","Portland, ME",19790,DL,6330,0.2008,141.38,75,0.1311,200,0.0695,0.0885,"New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","Portland, ME
(45.516018, -122.681425)",20181317033432119790DL
Table 5,2018,1,137.75,31703,34321,"New York City, NY (Metropolitan Area)","Portland, ME",19977,UA,3760,0.1193,164.27,100,0.141,200,0.1117,0.0691,"New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","Portland, ME
(45.516018, -122.681425)",20181317033432119977UA
Table 5,2018,1,137.75,31703,34321,"New York City, NY (Metropolitan Area)","Portland, ME",20409,B6,5590,0.1773,123.26,75,0.2182,175,0.0948,0.0501,"New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","Portland, ME
(45.516018, -122.681425)",20181317033432120409B6
Table 5,2018,1,261.18,31703,34524,"New York City, NY (Metropolitan Area)","Richmond, VA",19790,DL,11430,0.2581,243.92,100,0.1461,475,0.077,0.3421,"New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","Richmond, VA
(37.540759, -77.433932)",20181317033452419790DL
Table 5,2018,1,261.18,31703,34524,"New York City, NY (Metropolitan Area)","Richmond, VA",19805,AA,5400,0.122,262.42,100,0.0796,475,0.1019,0.3778,"New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","Richmond, VA
(37.540759, -77.433932)",20181317033452419805AA
Table 5,2018,3,269.22,30257,30977,"Albany, NY","Chicago, IL",19393,WN,4800,0.1408,253.86,200,0.1479,400,0.1125,0,,,20183302573097719393WN
Table 5,2018,1,261.18,31703,34524,"New York City, NY (Metropolitan Area)","Richmond, VA",19977,UA,4960,0.112,316.95,125,0.119,475,0.1069,0.4637,"New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","Richmond, VA
(37.540759, -77.433932)",20181317033452419977UA
Table 5,2018,1,136.79,31703,35096,"New York City, NY (Metropolitan Area)","Syracuse, NY",19790,DL,8720,0.3032,137.98,75,0.1525,225,0.0826,0.0436,"New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","Syracuse, NY
(43.047945, -76.147448)",20181317033509619790DL
Table 5,2018,1,136.79,31703,35096,"New York City, NY (Metropolitan Area)","Syracuse, NY",20409,B6,4650,0.1617,137.89,75,0.1871,175,0.1806,0.0753,"New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","Syracuse, NY
(43.047945, -76.147448)",20181317033509620409B6
Table 5,2018,1,138.22,32211,30466,"Las Vegas, NV","Phoenix, AZ",19393,WN,61910,0.3657,141.06,75,0.2237,275,0.0678,0.1313,"Las Vegas, NV
(36.169202, -115.140597)","Phoenix, AZ
(30.406931, -87.217578)",20181322113046619393WN
Table 5,2018,1,138.22,32211,30466,"Las Vegas, NV","Phoenix, AZ",19805,AA,21880,0.1292,140.49,75,0.0964,200,0.1165,0.0891,"Las Vegas, NV
(36.169202, -115.140597)","Phoenix, AZ
(30.406931, -87.217578)",20181322113046619805AA
Table 5,2018,1,132.58,32211,32457,"Las Vegas, NV","San Francisco, CA (Metropolitan Area)",19393,WN,169310,0.2857,130.13,75,0.2536,175,0.0952,0.115,"Las Vegas, NV
(36.169202, -115.140597)","San Francisco, CA (Metropolitan Area)
(37.78008, -122.420168)",20181322113245719393WN
Table 5,2018,1,128.6,32211,32575,"Las Vegas, NV","Los Angeles, CA (Metropolitan Area)",19393,WN,142970,0.2609,140.21,75,0.207,275,0.0909,0.1921,"Las Vegas, NV
(36.169202, -115.140597)","Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",20181322113257519393WN
Table 5,2018,1,128.52,32211,33570,"Las Vegas, NV","San Diego, CA",19393,WN,51010,0.4108,132.58,75,0.1845,275,0.0667,0.1186,"Las Vegas, NV
(36.169202, -115.140597)","San Diego, CA
(32.71576, -117.163817)",20181322113357019393WN
Table 5,2018,1,91.34,32211,34716,"Las Vegas, NV","Stockton, CA",20368,G4,9490,0.4932,92.3,75,0.4089,150,0.0854,0,"Las Vegas, NV
(36.169202, -115.140597)","Stockton, CA
(37.957541, -121.292451)",20181322113471620368G4
Table 5,2018,1,261.72,32337,31650,"Indianapolis, IN","Minneapolis/St. Paul, MN",19790,DL,12370,0.4241,266.31,150,0.0711,400,0.0566,0.0291,"Indianapolis, IN
(39.76845, -86.156212)","Minneapolis/St. Paul, MN
(44.977479, -93.264346)",20181323373165019790DL
Table 5,2018,1,322.11,32337,34100,"Indianapolis, IN","Philadelphia, PA",19805,AA,10670,0.4183,344.09,225,0.0881,400,0.2212,0.045,"Indianapolis, IN
(39.76845, -86.156212)","Philadelphia, PA
(39.951061, -75.16562)",20181323373410019805AA
Table 5,2018,1,136.57,32467,31454,"Miami, FL (Metropolitan Area)","Orlando, FL",19393,WN,7070,0.1165,108.28,75,0.3013,200,0.0934,0,"Miami, FL (Metropolitan Area)
(44.977479, -93.264346)","Orlando, FL
(28.538331, -81.378879)",20181324673145419393WN
Table 5,2018,1,136.57,32467,31454,"Miami, FL (Metropolitan Area)","Orlando, FL",19805,AA,17610,0.2902,161.63,75,0.0744,225,0.0511,0.1244,"Miami, FL (Metropolitan Area)
(44.977479, -93.264346)","Orlando, FL
(28.538331, -81.378879)",20181324673145419805AA
Table 5,2018,1,119.57,32575,32457,"Los Angeles, CA (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",19393,WN,559100,0.2894,123.7,75,0.2802,250,0.0573,0.08,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)","San Francisco, CA (Metropolitan Area)
(37.78008, -122.420168)",20181325753245719393WN
Table 5,2018,1,133.64,32575,33192,"Los Angeles, CA (Metropolitan Area)","Sacramento, CA",19393,WN,226670,0.4175,137.17,75,0.2319,275,0.0621,0.1371,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)","Sacramento, CA
(38.582087, -121.50012)",20181325753319219393WN
Table 5,2018,1,273.57,33044,31703,"Louisville, KY","New York City, NY (Metropolitan Area)",19790,DL,6250,0.2027,278.04,150,0.0688,475,0.0592,0.1024,"Louisville, KY
(38.256078, -85.751569)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)",20181330443170319790DL
Table 5,2018,1,273.57,33044,31703,"Louisville, KY","New York City, NY (Metropolitan Area)",19805,AA,3690,0.1196,251.17,150,0.1003,325,0.1192,0.0623,"Louisville, KY
(38.256078, -85.751569)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)",20181330443170319805AA
Table 5,2018,1,273.57,33044,31703,"Louisville, KY","New York City, NY (Metropolitan Area)",19977,UA,4280,0.1388,299.98,175,0.0537,475,0.0841,0.0444,"Louisville, KY
(38.256078, -85.751569)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)",20181330443170319977UA
Table 5,2018,1,133.39,33105,30852,"Cincinnati, OH","Washington, DC (Metropolitan Area)",19393,WN,11010,0.1514,102.63,75,0.3906,200,0.0645,0.0064,"Cincinnati, OH
(39.104427, -84.513808)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)",20181331053085219393WN
Table 5,2018,1,133.39,33105,30852,"Cincinnati, OH","Washington, DC (Metropolitan Area)",19790,DL,14020,0.1928,152.03,75,0.1398,225,0.0613,0.1084,"Cincinnati, OH
(39.104427, -84.513808)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)",20181331053085219790DL
Table 5,2018,1,262.91,33105,31650,"Cincinnati, OH","Minneapolis/St. Paul, MN",19790,DL,10070,0.4444,267.96,150,0.0665,375,0.0814,0.0308,"Cincinnati, OH
(39.104427, -84.513808)","Minneapolis/St. Paul, MN
(44.977479, -93.264346)",20181331053165019790DL
Table 5,2018,1,89.4,33105,34761,"Cincinnati, OH","Sanford, FL",20368,G4,9350,0.5057,90.07,75,0.4588,175,0.0567,0,"Cincinnati, OH
(39.104427, -84.513808)","Sanford, FL
(37.78008, -122.420168)",20181331053476120368G4
Table 5,2018,1,136.75,33192,30559,"Sacramento, CA","Seattle, WA",19393,WN,19330,0.1741,129.14,75,0.2716,200,0.061,0.1397,"Sacramento, CA
(38.582087, -121.50012)","Seattle, WA
(47.603229, -122.33028)",20181331923055919393WN
Table 5,2018,1,136.75,33192,30559,"Sacramento, CA","Seattle, WA",19930,AS,27790,0.2502,134.03,75,0.2602,325,0.0518,0.145,"Sacramento, CA
(38.582087, -121.50012)","Seattle, WA
(47.603229, -122.33028)",20181331923055919930AS
Table 5,2018,1,121.64,33192,33570,"Sacramento, CA","San Diego, CA",19393,WN,82150,0.4384,122.4,75,0.2565,225,0.0768,0.0502,"Sacramento, CA
(38.582087, -121.50012)","San Diego, CA
(32.71576, -117.163817)",20181331923357019393WN
Table 5,2018,2,136.09,30140,30325,"Albuquerque, NM","Denver, CO",19393,WN,12890,0.2742,139.07,75,0.1311,275,0.1133,0.1536,"Albuquerque, NM
(35.084248, -106.649241)","Denver, CO
(39.738453, -104.984853)",20182301403032519393WN
Table 5,2018,2,136.09,30140,30325,"Albuquerque, NM","Denver, CO",19977,UA,9180,0.1953,140.35,75,0.1351,225,0.0501,0.1133,"Albuquerque, NM
(35.084248, -106.649241)","Denver, CO
(39.738453, -104.984853)",20182301403032519977UA
Table 5,2018,2,274.12,30194,31834,"Dallas/Fort Worth, TX","Fayetteville, AR",19805,AA,10140,0.5055,288.8,200,0.1706,325,0.1479,0.0602,"Dallas/Fort Worth, TX
(40.11086, -77.035636)","Fayetteville, AR
(36.061928, -94.160583)",20182301943183419805AA
Table 5,2018,2,313.5,30194,33044,"Dallas/Fort Worth, TX","Louisville, KY",19805,AA,11450,0.397,334.89,200,0.1066,400,0.0585,0.0638,"Dallas/Fort Worth, TX
(40.11086, -77.035636)","Louisville, KY
(38.256078, -85.751569)",20182301943304419805AA
Table 5,2018,2,330.75,30255,30852,"Huntsville, AL","Washington, DC (Metropolitan Area)",19790,DL,4270,0.1327,329.74,200,0.1827,400,0.0679,0.0422,"Huntsville, AL
(34.729538, -86.585283)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)",20182302553085219790DL
Table 5,2018,2,330.75,30255,30852,"Huntsville, AL","Washington, DC (Metropolitan Area)",19805,AA,11200,0.3482,335.03,150,0.1107,450,0.0661,0.1929,"Huntsville, AL
(34.729538, -86.585283)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)",20182302553085219805AA
Table 5,2018,2,262.32,30257,30977,"Albany, NY","Chicago, IL",19393,WN,3900,0.1309,252.85,200,0.2026,400,0.1359,0.0026,"Albany, NY
(42.651242, -73.755418)","Chicago, IL
(41.775002, -87.696388)",20182302573097719393WN
